x,y,filename
12.0415535,33.33813,"mp-2712919_[0, 0, 1].png"
-3.5445545,-44.055454,"mp-757350_[0, 0, 1].png"
-28.783676,16.88116,"mp-754249_[0, 0, 1].png"
37.942608,-12.9862795,"mp-556940_[0, 0, 1].png"
-42.020115,-41.57526,"mp-2714522_[0, 0, 1].png"
33.095776,-24.099352,"mp-608311_[0, 0, 1].png"
-29.918737,-41.835327,"mp-1219758_[0, 0, 1].png"
52.63395,-5.233898,"mp-771162_[0, 0, 1].png"
4.0305624,39.982506,"mp-1250467_[0, 0, 1].png"
0.4936936,-65.13281,"mp-21441_[0, 0, 1].png"
-2.9837549,51.787506,"mp-5859_[0, 0, 1].png"
32.107594,-18.995228,"mp-1224874_[0, 0, 1].png"
46.70928,-23.188755,"mp-510015_[0, 0, 1].png"
-22.739014,49.55263,"mp-1223057_[0, 0, 1].png"
-6.687195,11.684447,"mp-771264_[0, 0, 1].png"
-8.103782,10.41628,"mp-1040961_[0, 0, 1].png"
3.9470108,5.836112,"mp-684467_[0, 0, 1].png"
-15.274293,-3.443267,"mp-1222195_[0, 0, 1].png"
36.289173,35.397556,"mp-1097121_[0, 0, 1].png"
-11.592262,5.8092775,"mp-2715719_[0, 0, 1].png"
16.905207,-37.180183,"mp-1228032_[0, 0, 1].png"
-22.626818,5.387469,"mp-1228058_[0, 0, 1].png"
-41.937683,23.687056,"mp-568336_[0, 0, 1].png"
-31.748384,2.5964231,"mp-1095563_[0, 0, 1].png"
51.276188,-8.020685,"mp-2713085_[0, 0, 1].png"
-41.89617,-2.9925783,"mp-2715838_[0, 0, 1].png"
15.548024,-10.860652,"mp-29742_[0, 0, 1].png"
-54.28558,-13.686091,"mp-625475_[0, 0, 1].png"
-23.240261,38.969185,"mp-1073083_[0, 0, 1].png"
-48.306873,-17.324232,"mp-555942_[0, 0, 1].png"
12.723133,29.854485,"mp-766974_[0, 0, 1].png"
28.2534,-40.6975,"mp-1264770_[0, 0, 1].png"
17.398878,-37.416798,"mp-1020630_[0, 0, 1].png"
-38.838142,3.923787,"mp-1013843_[0, 0, 1].png"
-50.549183,21.208578,"mp-1233748_[0, 0, 1].png"
-48.280537,30.116783,"mp-2715631_[0, 0, 1].png"
-35.92625,-46.02116,"mp-32959_[0, 0, 1].png"
2.8828957,17.808718,"mp-19052_[0, 0, 1].png"
-20.39115,-10.650729,"mp-1020361_[0, 0, 1].png"
-58.641994,-8.992454,"mp-753567_[0, 0, 1].png"
-3.3412693,-60.47602,"mp-754519_[0, 0, 1].png"
-24.34617,41.469494,"mp-558521_[0, 0, 1].png"
34.399635,14.62689,"mp-1379381_[0, 0, 1].png"
15.374609,-22.159193,"mp-863421_[0, 0, 1].png"
46.3801,-31.796246,"mp-706913_[0, 0, 1].png"
18.525118,-31.013111,"mp-20832_[0, 0, 1].png"
9.612897,55.234516,"mp-1197862_[0, 0, 1].png"
-20.225359,35.974247,"mp-772968_[0, 0, 1].png"
56.5245,-4.0412765,"mp-626785_[0, 0, 1].png"
53.867046,-2.6585934,"mp-1207382_[0, 0, 1].png"
-15.428117,2.172783,"mp-27035_[0, 0, 1].png"
-63.580387,-8.54113,"mp-684746_[0, 0, 1].png"
11.260733,37.318348,"mp-27192_[0, 0, 1].png"
3.8640726,1.1203704,"mp-2715216_[0, 0, 1].png"
34.229134,4.746812,"mp-1222444_[0, 0, 1].png"
22.564419,-23.48278,"mp-760086_[0, 0, 1].png"
-18.085117,42.017498,"mp-1217512_[0, 0, 1].png"
7.2759957,-54.845978,"mp-1220070_[0, 0, 1].png"
42.884518,39.419388,"mp-676851_[0, 0, 1].png"
16.310333,36.77212,"mp-1074276_[0, 0, 1].png"
-42.412804,29.519676,"mp-1043525_[0, 0, 1].png"
5.0367174,-46.435898,"mp-1019782_[0, 0, 1].png"
15.1907625,-3.0184627,"mp-1203085_[0, 0, 1].png"
20.799112,45.5008,"mp-2714374_[0, 0, 1].png"
-37.969776,32.26198,"mp-697408_[0, 0, 1].png"
4.6207213,46.107018,"mp-35308_[0, 0, 1].png"
-46.11804,-20.631092,"mp-1043880_[0, 0, 1].png"
4.440193,3.4824784,"mp-2714043_[0, 0, 1].png"
-1.5392115,37.96908,"mp-1120447_[0, 0, 1].png"
1.0238146,53.96714,"mp-1040930_[0, 0, 1].png"
1.8676053,-18.759857,"mp-2716122_[0, 0, 1].png"
-3.920647,-18.782513,"mp-1208807_[0, 0, 1].png"
-58.94932,-6.868467,"mp-1234076_[0, 0, 1].png"
-11.51154,6.953868,"mp-2716350_[0, 0, 1].png"
-0.64249045,13.295192,"mp-554616_[0, 0, 1].png"
-43.76989,-1.0917352,"mp-2715140_[0, 0, 1].png"
-43.14569,20.021553,"mp-1074181_[0, 0, 1].png"
-25.075056,-6.5350018,"mp-754552_[0, 0, 1].png"
31.850185,3.363607,"mp-1190170_[0, 0, 1].png"
51.10873,-14.092428,"mp-669400_[0, 0, 1].png"
26.922283,-41.782497,"mp-2715618_[0, 0, 1].png"
27.884577,7.0017295,"mp-1227998_[0, 0, 1].png"
32.591034,2.1412323,"mp-567852_[0, 0, 1].png"
19.752535,-10.130817,"mp-23173_[0, 0, 1].png"
-56.09494,-16.482231,"mp-557618_[0, 0, 1].png"
7.013284,-62.64373,"mp-1037585_[0, 0, 1].png"
0.19211374,58.834393,"mp-863062_[0, 0, 1].png"
-11.34608,-35.990444,"mp-1226524_[0, 0, 1].png"
-17.952374,-7.469334,"mp-1075569_[0, 0, 1].png"
7.0669084,-62.047638,"mp-1210923_[0, 0, 1].png"
-41.939476,31.000504,"mp-554145_[0, 0, 1].png"
37.60605,37.16128,"mp-759016_[0, 0, 1].png"
38.11271,-13.370169,"mp-1200846_[0, 0, 1].png"
38.232292,28.306692,"mp-757482_[0, 0, 1].png"
-50.66665,-21.245918,"mp-2716141_[0, 0, 1].png"
29.939877,-0.6639541,"mp-34375_[0, 0, 1].png"
